,Hugo_Symbol,breast,bladder,kidney,Entrez
12,NT5C1A,0.9931460674157303,0.7963636363636364,9.899375,84618
13,L3MBTL2,437.8777528089888,437.37727272727267,444.30781249999995,83746
14,SLC9A9,212.83808988764042,411.06454545454557,92.38874999999999,285195
15,ST7L,399.2366292134831,271.4827272727273,319.33343749999995,54879
16,SYT2,2.5873033707865165,2.356363636363636,2.4524999999999997,127833
17,CACNA2D4,89.00505617977528,50.89090909090908,51.1490625,93589
18,ZNF84,449.390786516854,253.45363636363643,263.43875,7637
19,RBP2,13.569101123595507,1.9100000000000001,129.8465625,5948
20,HLA-DQB1,1698.1128089887638,2145.9072727272724,1597.164375,3119
21,DPP4,366.9215730337079,57.440909090909095,2231.7965625,1803
22,LRRC36,12.241123595505616,5.037272727272727,26.07875,55282
23,ATP5D,2096.829213483146,3961.8018181818184,5676.725,-1
24,LAMB3,2443.1130337078653,1528.9209090909092,499.44593749999996,3914
25,MRPL34,1463.1433707865167,1793.7918181818181,4251.7853125,64981
