,Hugo_Symbol,breast,bladder,kidney,index
1619,PCIF1,703.6223595505619,667.0545454545455,631.0084375,8503
1620,APBA1,150.41314606741574,88.92090909090909,84.3646875,714
1621,STRN,294.1307865168539,164.04909090909092,226.080625,11641
1622,STK16,900.4455056179775,772.6636363636363,1085.453125,11607
1623,NUP62,735.1566292134831,800.0872727272726,537.0450000000001,8068
1624,GBA2,1049.026179775281,1201.2327272727273,1640.0784375,4333
1625,BRF2,447.9031460674157,322.1418181818182,245.3890625,1341
1626,FMR1,552.9532584269664,481.2754545454546,664.0921874999999,4096
1627,NBN,743.0378651685393,437.9636363636364,518.193125,7511
1628,TANK,1788.794606741573,877.2763636363635,660.0815625,11903
1629,LARP7,1162.819438202247,1122.037272727273,1017.3856249999999,6296
1630,MIB2,381.7728089887641,602.2390909090909,403.0825,6991
1631,TLK1,600.8896629213483,404.79272727272723,509.440625,12256
1632,PIR,494.8861797752808,1445.6872727272728,256.1275,8800
1633,MSLN,72.77977528089887,199.46454545454546,1047.144375,7233
1634,ARPC5,2786.1026966292134,2510.148181818182,2031.3278125000002,871
1635,PAQR6,47.540337078651675,52.01363636363636,19.805625,8380
1636,PXK,442.1569662921348,365.6881818181818,726.9253125,9389
1637,RCN3,919.3782022471909,919.3863636363635,308.6828125,9804
1638,FOXD3,4.009887640449438,19.779999999999998,1.1821875,4128
1639,CKAP2,178.02449438202245,159.4372727272727,133.24593750000003,2123
1640,NPAS1,25.568426966292133,18.548181818181817,30.831249999999997,7888
1641,FMO4,219.00337078651685,88.45272727272727,657.4409375,4093
1642,HOOK2,1220.5691011235954,696.0227272727273,716.6284375,5138
1643,TCF20,324.44640449438197,277.42,253.994375,11997
1644,KCNH2,39.308314606741575,702.9327272727272,49.8321875,5913
1645,CCL18,682.2697752808989,275.8945454545455,137.0740625,1710
1646,SYT7,471.6273033707865,76.34545454545454,589.3271874999999,11793
1647,TJAP1,494.8628089887641,519.2327272727272,354.901875,12242
1648,RUNX1,1016.3644943820224,329.56363636363636,136.7396875,10446
1649,FEN1,256.7808988764045,249.9072727272727,186.8234375,3976
1650,JUNB,4592.277191011236,16771.67818181818,5445.8084375,5757
1651,MDM4,273.70157303370786,177.73636363636365,139.7040625,6863
1652,CCL4,438.15078651685394,489.87000000000006,148.904375,1723
1653,PRPH2,24.189775280898875,20.48909090909091,25.496562500000003,9201
1654,GFRA2,69.4949438202247,74.11090909090909,49.7865625,4446
1655,FOXJ1,13.107865168539325,63.76545454545454,202.47812500000003,4137
1656,NR4A2,600.6923595505618,1066.9309090909092,532.948125,7948
1657,IFFO1,241.2770786516854,279.9227272727273,145.594375,5379
1658,C1R,18725.965617977527,27006.407272727272,7699.1778125,1411
1659,NMU,15.97191011235955,48.38363636363636,15.055625,7818
1660,MMP17,159.88786516853932,71.73636363636365,19.1634375,7092
1661,NUB1,1675.0641573033706,1090.0327272727272,1142.7559374999998,8034
1662,SYT5,6.409213483146068,9.621818181818183,3.4503125,11791
1663,GRPR,268.5092134831461,1.7245454545454544,2.908125,4779
1664,RPP14,446.23415730337075,407.3427272727273,511.19750000000005,10307
1665,KDM2B,285.32247191011237,310.0781818181818,214.70218749999998,5967
1666,UBE2B,2882.2294382022474,2972.355454545455,2273.751875,12922
1667,CGNL1,366.2134831460674,395.4709090909091,2777.7609375,2014
1668,GLI1,48.79415730337079,90.86727272727273,41.347187500000004,4501
1669,CLPP,1146.1519101123595,1312.3281818181815,1736.334375,2234
1670,VEZF1,1191.7141573033707,857.1709090909092,1049.0346875,13176
1671,DRG1,1491.9894382022471,1199.8336363636363,1222.7112499999998,3248
1672,SUMF1,985.3688764044944,661.6809090909092,1399.211875,11684
1673,ST7,512.9093258426966,377.4581818181818,649.1128125,11561
1674,AP4E1,106.18752808988762,96.29272727272728,74.2359375,708
1675,MUL1,584.0983146067416,667.7981818181818,908.9728124999999,7329
1676,SWI5,777.9385393258427,887.158181818182,985.089375,11712
1677,LRFN4,169.3712359550562,165.3709090909091,138.86031250000002,6521
1678,USH1C,10.597191011235955,86.0918181818182,1856.7490625,13080
1679,PTPRS,968.8744943820225,736.3390909090909,486.48468750000006,9355
1680,CDK13,476.3848314606741,358.0790909090909,306.97437499999995,1865
1681,BMX,146.9307865168539,60.64545454545455,14.421874999999998,1297
1682,LAIR2,6.454157303370786,6.719090909090909,6.907187499999999,6269
1683,TINAG,0.1996629213483146,0.6290909090909091,943.485,12231
1684,CLN6,529.2340449438202,424.07727272727277,610.7403125000001,2229
1685,DDC,24.440786516853933,3.852727272727273,5698.6453125,2906
1686,GALM,289.51101123595504,342.26,1549.9353125,4296
1687,ACACB,1922.4076404494378,455.0481818181819,509.04906250000005,231
1688,CPSF1,1299.3608988764045,1428.452727272727,866.3871875,2522
1689,PSG6,0.1860674157303371,1.0672727272727274,0.22531250000000003,9264
1690,PHC3,402.6688764044944,265.18363636363637,295.40375,8707
1691,BDH2,1610.3097752808985,1240.7,5752.192499999999,1210
1692,TYRP1,16.21213483146067,12.906363636363636,467.646875,12868
