node0,node1
4247,13344
4967,4961
3633,4942
9171,9172
8628,12230
12491,8014
3274,7866
3732,1155
11288,4726
1257,1258
5756,4118
5517,10006
1871,1734
713,1583
7520,4016
3503,3158
8409,5517
3917,2681
3495,11476
11129,11130
2319,7866
10799,342
13078,4117
5019,7350
11132,9117
1155,2650
5517,6405
7634,8022
5758,11585
659,4656
11956,7750
5184,3631
11129,11133
7527,7528
11922,11930
11132,4962
1521,11091
12474,12073
4116,6692
4964,11584
12139,1149
9301,5019
216,13282
1186,9324
4966,1
9693,7041
11802,12533
2325,2326
4118,971
9908,6027
12543,5672
5623,12514
7866,12872
9878,9877
873,12132
8903,3636
9105,9035
11802,10723
5447,8296
600,4395
7686,10797
812,731
6063,5744
5509,2750
5479,5475
10026,7832
11058,3590
4119,5757
5019,12251
3431,3603
9683,11287
8394,6154
4253,10799
1883,1868
4784,11384
7962,4656
4574,2782
9889,9721
8960,8295
8755,11582
12115,3351
1429,12502
5324,2782
8013,8022
11585,8753
2212,6437
2108,5203
1050,10868
8428,3869
8338,13073
1727,6651
7358,11128
4150,11058
11471,9325
11802,8886
8394,8392
3431,3605
10799,10804
1049,40
12109,12252
2681,12109
802,4144
6779,6680
9698,3165
12769,10799
11584,4149
10972,10974
10966,10965
12579,10797
9698,2625
11058,13393
5019,11680
5185,7863
9698,10797
9649,10797
4964,7546
5758,4118
1290,11291
1736,1769
0,4965
13357,8295
131,4656
5480,5479
12454,12601
5640,7532
12541,972
12108,1198
13179,13172
3646,3443
3739,3738
11416,9710
4656,11116
8903,1963
4244,11465
4720,10983
1197,4064
11677,8752
4144,11318
969,5756
324,10799
5757,4117
1289,3982
998,7658
2575,5640
8563,8676
7353,11476
11959,11960
4479,10799
12252,12110
7866,3117
7432,9034
10986,10983
998,12074
11151,11200
7972,8950
6901,1442
7691,7037
13359,3633
6535,3069
3633,7272
13173,13179
1049,1329
8404,5019
11862,1050
2813,3308
6937,2681
11150,11153
8292,3590
7531,2869
9666,1
7318,6937
4503,11405
5029,4328
3590,969
873,3448
10800,10796
5184,5046
4337,4351
3432,3611
7350,6695
