,0,1
652,2153,2335
653,2153,3077
654,2153,3320
655,2153,3324
656,2153,3717
657,2153,4524
658,2153,4846
659,2153,5054
660,2153,5111
661,2153,5177
662,2153,5340
663,2153,5468
664,2153,5507
665,2153,5624
666,2153,5745
667,2153,7035
668,2153,8529
669,3290,3290
670,3290,3291
671,3290,3481
672,3290,3552
673,3290,3553
674,3290,3630
675,3290,3667
676,3290,5106
677,3290,6667
678,3290,6770
679,3290,7124
680,3290,9370
681,3290,22943
682,3290,23028
683,3290,45384
684,3290,51738
685,3290,63976
686,3552,3552
687,3552,3553
688,3552,3554
689,3552,3556
690,3552,3557
691,3552,3558
692,3552,3559
693,3552,3560
694,3552,3562
695,3552,3565
696,3552,3566
697,3552,3567
698,3552,3568
699,3552,3569
700,3552,3570
701,3552,3572
702,3552,3574
703,3552,3576
704,3552,3578
705,3552,3579
706,3552,3586
707,3552,3589
708,3552,3592
709,3552,3593
710,3552,3596
711,3552,3600
712,3552,3603
713,3552,3605
714,3552,3606
715,3552,3620
716,3552,3627
717,3552,3630
718,3552,3654
719,3552,3656
720,3552,3660
721,3552,3662
722,3552,3678
723,3552,3684
724,3552,3690
725,3552,3700
726,3552,3725
727,3552,3726
728,3552,3727
729,3552,3779
730,3552,3791
731,3552,3827
732,3552,3842
733,3552,3845
734,3552,3848
735,3552,3929
736,3552,3934
737,3552,3939
738,3552,3952
739,3552,3953
740,3552,3958
741,3552,3976
742,3552,4018
743,3552,4023
744,3552,4035
745,3552,4049
746,3552,4071
747,3552,4088
748,3552,4150
749,3552,4155
750,3552,4162
751,3552,4179
752,3552,4210
753,3552,4215
754,3552,4216
755,3552,4254
756,3552,4267
757,3552,4282
758,3552,4283
759,3552,4311
760,3552,4312
761,3552,4313
762,3552,4314
763,3552,4316
764,3552,4317
765,3552,4318
766,3552,4319
767,3552,4321
768,3552,4322
769,3552,4353
770,3552,4512
771,3552,4513
772,3552,4524
773,3552,4599
774,3552,4600
775,3552,4609
776,3552,4615
777,3552,4653
778,3552,4706
779,3552,4772
780,3552,4790
781,3552,4792
782,3552,4803
783,3552,4804
784,3552,4843
785,3552,4846
786,3552,4879
787,3552,4953
788,3552,4973
789,3552,4976
790,3552,4982
791,3552,4988
792,3552,5008
793,3552,5020
794,3552,5021
795,3552,5027
796,3552,5047
797,3552,5054
798,3552,5055
799,3552,5155
800,3552,5156
801,3552,5167
802,3552,5176
803,3552,5265
804,3552,5270
805,3552,5290
806,3552,5293
807,3552,5319
808,3552,5320
809,3552,5321
810,3552,5327
811,3552,5328
812,3552,5332
813,3552,5335
814,3552,5443
815,3552,5444
816,3552,5465
817,3552,5467
818,3552,5468
819,3552,5524
820,3552,5578
821,3552,5590
822,3552,5594
823,3552,5599
824,3552,5603
825,3552,5609
826,3552,5610
827,3552,5617
828,3552,5657
829,3552,5741
830,3552,5742
831,3552,5743
832,3552,5744
833,3552,5764
834,3552,5781
835,3552,5788
836,3552,5806
837,3552,5817
838,3552,5879
839,3552,5918
840,3552,5966
841,3552,5970
842,3552,5978
843,3552,6095
844,3552,6146
845,3552,6261
846,3552,6275
847,3552,6278
848,3552,6279
849,3552,6280
850,3552,6284
851,3552,6287
852,3552,6289
853,3552,6290
854,3552,6346
855,3552,6347
856,3552,6348
857,3552,6351
858,3552,6352
859,3552,6354
860,3552,6356
861,3552,6361
862,3552,6364
863,3552,6367
864,3552,6369
865,3552,6372
866,3552,6374
867,3552,6376
868,3552,6383
869,3552,6387
870,3552,6401
871,3552,6403
872,3552,6416
873,3552,6439
874,3552,6440
875,3552,6528
876,3552,6590
877,3552,6610
878,3552,6647
879,3552,6648
880,3552,6649
881,3552,6662
882,3552,6667
883,3552,6670
884,3552,6678
885,3552,6696
886,3552,6699
887,3552,6714
888,3552,6761
889,3552,6772
890,3552,6774
891,3552,6809
892,3552,6817
893,3552,6850
894,3552,6863
895,3552,6868
896,3552,6885
897,3552,6900
898,3552,6927
899,3552,6932
900,3552,6936
901,3552,6962
902,3552,7010
903,3552,7018
904,3552,7037
905,3552,7038
906,3552,7039
907,3552,7040
908,3552,7042
909,3552,7044
910,3552,7051
911,3552,7066
912,3552,7070
913,3552,7076
914,3552,7077
915,3552,7097
916,3552,7098
917,3552,7099
918,3552,7124
919,3552,7128
920,3552,7130
921,3552,7132
922,3552,7133
923,3552,7173
924,3552,7189
925,3552,7292
926,3552,7299
927,3552,7361
928,3552,7369
929,3552,7409
930,3552,7412
931,3552,7421
932,3552,7422
933,3552,7424
934,3552,7432
935,3552,7448
936,3552,7450
937,3552,7474
938,3552,7498
939,3552,7508
940,3552,7536
941,3552,7850
942,3552,7852
943,3552,8161
944,3552,8174
945,3552,8195
